"MATERIAL","CHAR","CHARVALUE","ACTIVE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DISPLAYPORT TO DVI DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO 2XDP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO DVI 2LINK DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO VGA DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DVI_DONGLE","DVI TO VGA DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DVI_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINIDP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DP DONGLE","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DVI SL CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO HDMI CONVERTER","X"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","NO GRAPHICS DONGLE SELECTED","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","1TB HYBRID HDD SATA 3.5","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_128GB SATA SSD","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_180GB SATA SSD OPAL",""
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_1TB SATA SSD NON_OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_240GB SATA SSD OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_256GB SATA SSD NON_OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_256GB SATA SSD OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_480GB SATA SSD OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_512GB SATA SSD","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_512GB_SATA_SSD_OPAL","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2TB HYBRID HDD SATA 3.5","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_1TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_2TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_3TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_4TB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_500GB SATA HDD 7200RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_6TB_SATA_HDD_7200_RPM","X"
"30ATCTO1WW","EP2ND_HDD_SELECTION","NO_2ND HDD SELECTED","X"
"30ATCTO1WW","EP2ND_RAID_ARRAY","NO_2ND RAID SELECTED","X"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 0","X"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 1_2 HDDS MIN","X"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 10_4 HDDS MIN","X"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 5_3 HDDS MIN","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER DOS","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER WIN10","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER WIN7","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_DOS","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_WIN10","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_WIN7","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW DOS","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW W10","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW W7","X"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","NONE","X"
"30ATCTO1WW","EPADOBE_ACROBAT","ADOBE ACROBAT DC PROFESSIONAL","X"
"30ATCTO1WW","EPADOBE_ACROBAT","ADOBE ACROBAT DC STANDRD_EN","X"
"30ATCTO1WW","EPADOBE_ACROBAT","NONE","X"
"30ATCTO1WW","EPADOBESW","ADOBE PHOTOSHOP ELEMENTS 13.0","X"
"30ATCTO1WW","EPADOBESW","ADOBE PS_PREMIERE ELEMENTS13.0","X"
"30ATCTO1WW","EPADOBESW","ADOBE_PHOTOSHOP_ELEMENTS_14.0","X"
"30ATCTO1WW","EPADOBESW","ADOBE_PS_PREMIERE_ELEMENTS14.0","X"
"30ATCTO1WW","EPADOBESW","NO_ADOBE","X"
"30ATCTO1WW","EPAUDIO","INTEGRATED AUDIO","X"
"30ATCTO1WW","EPAUDIO","SOUND BLASTER Z AUDIO CARD","X"
"30ATCTO1WW","EPC2SWITCH","INTRUSION SWITCH","X"
"30ATCTO1WW","EPC2SWITCH","NO_CHASIS INTRUSION SWITCH","X"
"30ATCTO1WW","EPCABLELOCK","CABLE LOCK","X"
"30ATCTO1WW","EPCABLELOCK","NO_CABLE LOCK","X"
"30ATCTO1WW","EPCOUNTRY","AFRICA_FRENCH_PORTUGUESE","X"
"30ATCTO1WW","EPCOUNTRY","AFRICA_UK","X"
"30ATCTO1WW","EPCOUNTRY","ALGERIA","X"
"30ATCTO1WW","EPCOUNTRY","ARGENTINA","X"
"30ATCTO1WW","EPCOUNTRY","AUSTRALIA","X"
"30ATCTO1WW","EPCOUNTRY","AUSTRIA","X"
"30ATCTO1WW","EPCOUNTRY","BANGLADESH","X"
"30ATCTO1WW","EPCOUNTRY","BELGIUM","X"
"30ATCTO1WW","EPCOUNTRY","BOLIVIA","X"
"30ATCTO1WW","EPCOUNTRY","BRAZIL","X"
"30ATCTO1WW","EPCOUNTRY","BRUNEI","X"
"30ATCTO1WW","EPCOUNTRY","BULGARIA","X"
"30ATCTO1WW","EPCOUNTRY","CANADA","X"
"30ATCTO1WW","EPCOUNTRY","CHILE","X"
"30ATCTO1WW","EPCOUNTRY","CHINA","X"
"30ATCTO1WW","EPCOUNTRY","CIS","X"
"30ATCTO1WW","EPCOUNTRY","COLOMBIA","X"
"30ATCTO1WW","EPCOUNTRY","CROATIA","X"
"30ATCTO1WW","EPCOUNTRY","CYPRUS","X"
"30ATCTO1WW","EPCOUNTRY","CZECH_REPUBLIC","X"
"30ATCTO1WW","EPCOUNTRY","DENMARK","X"
"30ATCTO1WW","EPCOUNTRY","ECUADOR","X"
"30ATCTO1WW","EPCOUNTRY","EGYPT","X"
