"MATERIAL","CHAR","CHARVALUE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","4XDP TO VGA DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DISPLAY PORT TO HDMI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DISPLAYPORT TO DVI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO 2XDP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO DVI 2LINK DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","DP TO VGA DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","NO GRAPHICS DONGLE SELECTED"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DVI_DONGLE","DVI TO VGA DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DVI_DONGLE","NO GRAPHICS DONGLE SELECTED"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO DP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO HDMI CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","2XMINIDP TO DVI SL CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO DP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO HDMI CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","3XMINIDP TO DVI SL CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO DP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO HDMI CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","4XMINIDP TO DVI SL CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DVI SL CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO HDMI CONVERTER"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_MDP_DONGLE","NO GRAPHICS DONGLE SELECTED"
"30ATCTO1WW","EP2ND_HDD_SELECTION","1TB HYBRID HDD SATA 3.5"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_128GB SATA SSD"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_180GB SATA SSD OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_1TB SATA SSD NON_OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_240GB SATA SSD OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_256GB SATA SSD NON_OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_256GB SATA SSD OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_480GB SATA SSD OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_512GB SATA SSD"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2.5_512GB_SATA_SSD_OPAL"
"30ATCTO1WW","EP2ND_HDD_SELECTION","2TB HYBRID HDD SATA 3.5"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_1TB SATA HDD 7200RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_2TB SATA HDD 7200RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_3TB SATA HDD 7200RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_4TB SATA HDD 7200RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_500GB SATA HDD 7200RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","3.5_6TB_SATA_HDD_7200_RPM"
"30ATCTO1WW","EP2ND_HDD_SELECTION","NO_2ND HDD SELECTED"
"30ATCTO1WW","EP2ND_HDD_SELECTION_QTY","0"
"30ATCTO1WW","EP2ND_HDD_SELECTION_QTY","1"
"30ATCTO1WW","EP2ND_HDD_SELECTION_QTY","2"
"30ATCTO1WW","EP2ND_HDD_SELECTION_QTY","3"
"30ATCTO1WW","EP2ND_HDD_SELECTION_QTY","4"
"30ATCTO1WW","EP2ND_RAID_ARRAY","NO_2ND RAID SELECTED"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 0"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 1_2 HDDS MIN"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 10_4 HDDS MIN"
