"CHAR","CHARVALUE","LANGUAGE","DESC"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDISPLAY_PORT_TO_VGA_DONGLE","E","8xDisplay Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDISPLAYPORT_TO_DVI_DONGLE","E","8xDisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_DUAL_DP","E","8xDP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_DVI_2LINK_DONGLE","E","8xDP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_DVI_DL","E","8xDP to DVI DL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_DVI_SL","E","8xDP to DVI SL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_HDMI","E","8xDP to HDMI"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","8XDP_TO_VGA","E","8xDP to VGA"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DISPLAY PORT TO HDMI DONGLE","E","Display Port to HDMI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DISPLAYPORT TO DVI DONGLE","E","DisplayPort to DVI dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO 2XDP DONGLE","E","DP to 2xDP dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO DVI 2LINK DONGLE","E","DP to DVI (2link) dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP TO VGA DONGLE","E","Display Port to VGA dongle"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP_TO_DUAL_DP","E","DP to Dual DP"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP_TO_DVI_DL","E","DP to DVI DL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP_TO_DVI_SL","E","DP to DVI SL"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP_TO_HDMI","E","DP to HDMI"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","DP_TO_VGA","E","DP to VGA"
"EP1ST_GRAPHIC_CARD_DP_DONGLE","NO GRAPHICS DONGLE SELECTED","E","No Graphics Dongle Selected"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","2XDVI TO VGA DONGLE","E","2xDVI to VGA dongle"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","2XDVI_TO_VGA","E","2xDVI to VGA"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","3XDVI TO VGA DONGLE","E","3xDVI to VGA dongle"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","3XDVI_TO_VGA","E","3xDVI to VGA"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","4XDVI TO VGA DONGLE","E","4xDVI to VGA dongle"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","4XDVI_TO_VGA","E","4xDVI to VGA"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","DVI TO VGA DONGLE","E","DVI to VGA dongle"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","DVI_TO_VGA","E","DVI to VGA"
"EP1ST_GRAPHIC_CARD_DVI_DONGLE","NO GRAPHICS DONGLE SELECTED","E","No Graphics Dongle Selected"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","10XMINI_DP_TO_DP_DONGLE","E","10xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","10XMINI_DP_TO_HDMI_CONVERTER","E","10xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","10XMINIDP_TO_DVI_SL_CONVERTER","E","10xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","11XMINI_DP_TO_DP_DONGLE","E","11xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","11XMINI_DP_TO_HDMI_CONVERTER","E","11xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","11XMINIDP_TO_DVI_SL_CONVERTER","E","11xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","12XMINI_DP_TO_DP_DONGLE","E","12xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","12XMINI_DP_TO_HDMI_CONVERTER","E","12xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","12XMINIDP_TO_DVI_SL_CONVERTER","E","12xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","13XMINI_DP_TO_DP_DONGLE","E","13xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","13XMINI_DP_TO_HDMI_CONVERTER","E","13xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","13XMINIDP_TO_DVI_SL_CONVERTER","E","13xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","14XMINI_DP_TO_DP_DONGLE","E","14xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","14XMINI_DP_TO_HDMI_CONVERTER","E","14xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","14XMINIDP_TO_DVI_SL_CONVERTER","E","14xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","15XMINI_DP_TO_DP_DONGLE","E","15xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","15XMINI_DP_TO_HDMI_CONVERTER","E","15xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","15XMINIDP_TO_DVI_SL_CONVERTER","E","15xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","16XMINI_DP_TO_DP_DONGLE","E","16xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","16XMINI_DP_TO_HDMI_CONVERTER","E","16xMini DP to HDMI Converter"
