"CHAR","LANGUAGE","DESC"
"ISEMEM_TYPE_SELECTION_3","E","3rd Memory Selection"
"ISEPOWER_CORD","E","Power Cord"
"ISEPRELOAD_LANG","E","Preload_Language"
"ISEPRELOAD_OS","E","Preload_OS"
"ISEPRELOAD_TYPE","E","Preload_Type"
"ISEQTY_ALLOWED_25_HDD","E","QTY_Allowed_2.5_HDD"
"ISEQTY_ALLOWED_35_HDD","E","QTY_Allowed_3.5_HDD"
"ISEQTY_ALLOWED_PCIE_HDD","E","QTY_Allowed_PCIe_HDD"
"ISEQTY_ALLOWED_SAS_HDD","E","QTY_Allowed_SAS_HDD"
"ISEQTY_ALLOWED_SATA_HDD","E","QTY_Allowed_SATA_HDD"
"ISEQTY_ALLOWED_TOTAL_HDD","E","QTY_Allowed_Total_HDD"
"ISEQTY_ALLOWED_TOTAL_MEM","E","QTY_Allowed_Total_MEM"
"ISEQTY_HDD1_25","E","QTY_HDD1_2.5"
"ISEQTY_HDD1_35","E","QTY_HDD1_3.5"
"ISEQTY_HDD1_PCIE","E","QTY_HDD1_PCIe"
"ISEQTY_HDD1_SAS","E","QTY_HDD1_SAS"
"ISEQTY_HDD1_SATA","E","QTY_HDD1_SATA"
"ISEQTY_HDD2_25","E","QTY_HDD2_2.5"
"ISEQTY_HDD2_35","E","QTY_HDD2_3.5"
"ISEQTY_HDD2_PCIE","E","QTY_HDD2_PCIe"
"ISEQTY_HDD2_SAS","E","QTY_HDD2_SAS"
"ISEQTY_HDD2_SATA","E","QTY_HDD2_SATA"
"ISEQTY_HDD3_25","E","QTY_HDD3_2.5"
"ISEQTY_HDD3_35","E","QTY_HDD3_3.5"
"ISEQTY_HDD3_PCIE","E","QTY_HDD3_PCIe"
"ISEQTY_HDD3_SAS","E","QTY_HDD3_SAS"
"ISEQTY_HDD3_SATA","E","QTY_HDD3_SATA"
"ISEQTY_HDD4_25","E","QTY_HDD4_2.5"
"ISEQTY_HDD4_35","E","QTY_HDD4_3.5"
"ISEQTY_HDD4_PCIE","E","QTY_HDD4_PCIe"
"ISEQTY_HDD4_SAS","E","QTY_HDD4_SAS"
"ISEQTY_HDD4_SATA","E","QTY_HDD4_SATA"
"ISEQTY_HDD5_25","E","QTY_HDD5_2.5"
"ISEQTY_HDD5_35","E","QTY_HDD5_3.5"
"ISEQTY_HDD5_PCIE","E","QTY_HDD5_PCIe"
"ISEQTY_HDD5_SAS","E","QTY_HDD5_SAS"
"ISEQTY_HDD5_SATA","E","QTY_HDD5_SATA"
"ISEQTY_HDD6_25","E","QTY_HDD6_2.5"
"ISEQTY_HDD6_35","E","QTY_HDD6_3.5"
"ISEQTY_HDD6_PCIE","E","QTY_HDD6_PCIe"
"ISEQTY_HDD6_SAS","E","QTY_HDD6_SAS"
"ISEQTY_HDD6_SATA","E","QTY_HDD6_SATA"
"ISEQTY_HDD7_25","E","QTY_HDD7_2.5"
"ISEQTY_HDD7_35","E","QTY_HDD7_3.5"
"ISEQTY_HDD7_PCIE","E","QTY_HDD7_PCIe"
"ISEQTY_HDD7_SAS","E","QTY_HDD7_SAS"
"ISEQTY_HDD7_SATA","E","QTY_HDD7_SATA"
"ISEQTY_TOTAL_25_HDD","E","QTY_Total_2.5_HDD"
"ISEQTY_TOTAL_35_HDD","E","QTY_Total_3.5_HDD"
"ISEQTY_TOTAL_HDD","E","QTY_Total_HDD"
"ISEQTY_TOTAL_MEM","E","ISEQTY_Total_MEM"
"ISEQTY_TOTAL_PCIE_HDD","E","QTY_Total_PCIe_HDD"
"ISEQTY_TOTAL_SAS_HDD","E","QTY_Total_SAS_HDD"
"ISEQTY_TOTAL_SATA_HDD","E","QTY_Total_SATA_HDD"
"ISERD642XOTHERS1","E","RD642XOTHERS1"
"ISERD642XOTHERS10","E","RD642XOTHERS10"
"ISERD642XOTHERS2","E","RD642XOTHERS2"
"ISERD642XOTHERS3","E","RD642XOTHERS3"
"ISERD642XOTHERS4","E","RD642XOTHERS4"
"ISERD642XOTHERS5","E","RD642XOTHERS5"
"ISERD642XOTHERS6","E","RD642XOTHERS6"
"ISERD642XOTHERS7","E","RD642XOTHERS7"
"ISERD642XOTHERS8","E","RD642XOTHERS8"
"ISERD642XOTHERS9","E","RD642XOTHERS9"
"ISESHELL","E","Shell"
"ISESP","E","Processor"
"ISEWARRANTY","E","WARRANTY"
